SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1964334,CB2000E-OI24-REGJ-C2,BOMBILLAS SILICONA JOIE,False,MURRAY SALES INC,NON FOOD SOFT,Chie Duval,False,No completado - Nuevo
1968108,CB0494OI24-003-01,COJIN COCINA 38X38CM A24 C3,False,TEXVISTA INTERNATIONAL PTE LTD,NON FOOD,Paulina Veliz Kushner,False,No completado - Nuevo
1964978,CB6047TT99--003,CERNIDOR METALICO TT.,False,"YANGDONG.EKA.HOUSEWARE CO., LTD..",FOOD IMPORTADOS,Magdalena Benavente,False,No completado - Nuevo
1968366,O24HOPL23-K2,O24 POLERON HOMB ADULTO COLOR BOCK BLACK,False,ANHUI GARMENTS IM. & EX.CO.LTD,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968352,OI24HOPA06-B3,OI24 PANTALON HOMBRE JOGGER PLANO ARMY,False,PASTEL APPARELS LIMITED,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968349,OI24HOPA03-B3,OI24 PANTALON HOMBRE 5 BOLSILLOS GREY,False,PASTEL APPARELS LIMITED,VESTUARIO,Paula Molina,False,No completado - Nuevo
1967644,O24KGCA06-K1,O24 CALZA NINA FLARE PUNTO ROMA BLACK,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967599,OI24KGCA02-BSISA1,OI24 CALZA NINA UNITARIA SISA LEOPARDO,False,SICHUAN TEXTILES IMPORT & EXPORT LI,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967597,OI24KGCA08-B1,OI24 CALZA NINA LOOK DENIM BLUE,False,"YIWU RICHWAY IMPORT & EXPORT CO.,",VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1968345,OI24HOPA02-B2,OI24 PANTALON HOMBRE CHINO GREY,False,PASTEL APPARELS LIMITED,VESTUARIO,Paula Molina,False,No completado - Nuevo
1967594,OI24KGFA02-B2,OI24 FALDA NINA TULL PRINT FLORES,False,"SHAOXING JIUYA TRADING CO., LTD",VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967591,OI24KGFA01-B1,OI24 FALDA NINA TULL LISA ICE,False,"SHAOXING JIUYA TRADING CO., LTD",VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1968376,OI24HOPO16-B2,OI24 POLERA HOMBRE MC PRINT MOTO WHITE,False,TEX-SCHOLAR CO. LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968375,OI24HOPO16-B1,OI24 POLERA HOMBRE MC PRINT MOTO BLACK,False,TEX-SCHOLAR CO. LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
